,address,price
0,3050 birch hollow dr,1095.0
1,912 rose ave,2000.0
3,1505 natalie lane,1385.0
4,1505 natalie lane,1185.0
6,1505 natalie lane,1375.0
7,310 e. liberty st. apt #2,1235.0
8,10910 independence lane,952.0
9,3050 birch hollow dr,1095.0
11,2167 medford,1150.0
12,101 lake village,1560.0
14,101 lake village,1304.0
15,10910 independence lane,859.0
16,4873 packard st,955.0
17,214 south hewitt,880.0
18,10910 independence lane,775.0
19,10910 independence lane,790.0
20,275 harbor way,1399.0
23,214 south hewitt,970.0
25,406 montgomery,1290.0
26,1610 longshore dr.,1475.0
27,406 montgomery,1290.0
29,3050 birch hollow dr,1095.0
30,214 south hewitt,1000.0
31,214 south hewitt,970.0
32,214 south hewitt,880.0
33,214 south hewitt,1020.0
34,214 south hewitt,860.0
38,3089 woodland hills dr,1249.0
40,2973 west clark rd,1374.0
44,"1645 n maple rd # 309, ann arbor, mi",750.0
45,2224 golfside drive,989.0
46,"1645 n maple rd # 309, ann arbor, mi",750.0
47,"1645 n maple rd # 309, ann arbor, mi",750.0
50,3008 randolph court dr.,933.0
52,3089 woodland hills dr,939.0
59,8777 rushside dr,1420.0
65,1116 s forest,6000.0
79,2201 glencoe hills,1529.0
80,2201 glencoe hills,2179.0
81,2201 glencoe hills,1149.0
85,101 lake village,2000.0
86,1980 pauline boulevard,1229.0
87,2960 birch hollow dr,1209.0
91,1355 s. winter st.,830.0
92,1980 pauline boulevard,1149.0
97,1980 pauline boulevard,1249.0
98,2835 roundtree blvd,1079.0
99,2960 birch hollow dr,1179.0
101,406 montgomery,1290.0
102,2820 windwood,1644.0
103,406 montgomery,1290.0
104,401 s. highlander way,878.0
105,1984 traver rd,1469.0
107,2960 international drive,989.0
108,220 n 1st st,1285.0
110,212 stevens dr,918.0
111,212 stevens drive,818.0
112,2911 bynan,859.0
114,600 hidden valley club drive,1260.0
117,321 williamsen dr,1070.0
119,1505 natalie ln,1375.0
121,201 e madison st,3345.0
123,615 pearl street,750.0
125,3089 woodland hills dr,869.0
126,1984 traver rd,1419.0
129,3089 woodland hills dr,939.0
130,329 jarvis street,995.0
131,2973 w clark rd.,2509.0
132,27883 independence st,1090.0
133,3050 birch hollow dr,1170.0
134,2973 west clark rd,999.0
135,2973 west clark rd,1374.0
138,1550 brookfield,1579.0
139,275 harbor way,1499.0
141,329 jarvis street,795.0
146,329 jarvis street,1095.0
147,101 lake village,1422.0
150,12 miles,1195.0
151,329 jarvis street,795.0
152,329 jarvis street,795.0
153,958 west cross street,2195.0
154,805 congress st.,815.0
155,805 congress,1295.0
156,705 pearl street,1995.0
157,615 pearl street,750.0
158,615 pearl street,675.0
159,615 pearl street,695.0
160,615 pearl street,695.0
161,212 north summit street,1245.0
162,207 ballard street,1095.0
163,329 jarvis street,1095.0
164,9 south summit st.,2095.0
165,116 north summit street,1695.0
166,124 north summit street,1295.0
167,125 north summit street,1245.0
168,125 north summit street,769.0
169,207 ballard street,975.0
170,207 ballard street,1045.0
171,2835 roundtree blvd,969.0
172,212 stevens drive,818.0
174,3050 birch hollow dr,975.0
176,2044 mcdivitt ct.,1250.0
178,600 hidden valley club drive,990.0
179,2960 birch hollow dr,1209.0
180,3089 woodland hills dr,1249.0
181,1550 brookfield,1579.0
