,Landmark,Address,Latitude,Longitude
0,CCTC,"1109 Geddes Ave, Ann Arbor, MI 48109",42.2781648,-83.73474861982432
1,Pierpont,"2101 Bonisteel Blvd, Ann Arbor, MI 48109",42.2911506,-83.71737674545454
2,Stadium,"1201 S Main St, Ann Arbor, MI 48104",42.2658652,-83.74868376764053
3,Walgreens on State Street,"317 S State St, Ann Arbor, MI 48104",42.2787073,-83.7409322
4,Union,"530 S State St, Ann Arbor, MI 48109",42.2751767,-83.741517071494
5,Ross,"701 Tappan Street Ann Arbor, MI 48109",42.278046,-83.73822
6,IM,"606 E Hoover Ave, Ann Arbor, MI 48104",42.2693824,-83.7490675
7,NCRB,"2375 Hubbard Rd, Ann Arbor, MI 48109",42.295156209521885,-83.71462652456206
8,CCRB,"401 Washtenaw Ave, Ann Arbor, MI 48109",42.281104,-83.733603
9,UGLI,"919 S University Ave, Ann Arbor, MI 48109",42.2756537,-83.73717593495405
