,address,price
0,3050 birch hollow dr,1095
1,912 rose ave,2000
10,3050 birch hollow dr,1095
100,2960 birch hollow dr,1179
1000,1207 willard,6300
1002,275 harbor way,1399
1003,stadium blvd,1199
1005,1006 pontiac trail,1500
1006,2960 international drive,989
1008,w liberty,1379
101,w liberty,1389
1012,schooner cove blvd.,889
1014,3050 birch hollow dr,975
1015,3050 birch hollow dr,1095
1016,lancashire drive,1439
1017,101 lake village,1555
102,406 montgomery,1290
1021,2960 international drive,839
1022,140 helle blvd,1190
1023,275 harbor way,1449
1024,1984 traver rd,1219
1026,scenic way,1299
1027,3998 audrey rae lane,1165
1028,3998 audrey rae ln.,1155
103,2820 windwood,1644
1030,leslie circle,1879
1031,1245 astor ave,1235
1032,140 lauff drive,1040
1033,401 s. highlander way,878
1034,3050 birch hollow dr,975
1035,leslie circle,1419
1036,1550 brookfield dr,1359
1037,3008 randolph court dr.,1143
1038,stadium blvd,1039
1039,w liberty,1539
104,406 montgomery,1290
1040,3400 nixon rd,2736
1041,3400 nixon rd,2003
1042,525 w. highland rd,1029
1043,3400 nixon rd,1903
1046,"104 n. mill, plymouth, mi 48170",1100
1047,1006 pontiac trail #1,1500
1048,3400 nixon rd,1626
1049,1863 collins ct.,999
105,401 s. highlander way,878
1050,3400 nixon rd,1501
1051,3400 nixon rd,1486
1052,275 harbor way,1885
1053,140 lauff,970
1054,275 harbor way,1499
1055,1837 davis st.,999
1056,2911 bynan dr.,909
1057,schooner cove boulevard,829
1058,2044 mcdivitt ct,1363
1059,212 stevens drive,818
106,1984 traver rd,1469
1060,212 stevens drive,918
1061,212 stevens dr,938
1062,212 stevens drive,918
1063,212 stevens drive,918
1064,212 stevens drive,918
1065,212 stevens drive,918
1066,212 stevens dr,818
1067,212 stevens drive,918
1068,212 stevens drive,918
1069,212 stevens drive,918
1070,212 stevens drive,918
1071,212 stevens drive,918
1072,south main street,1550
1076,1840 collins ct,999
1077,275 harbor way,1399
1078,stadium blvd,1159
1079,1450 chestnut dr.,1145
108,2960 international drive,989
1080,"7103 mckean rd,",500
1081,knotty pine trail,1450
1082,658 michigan ave,1050
1083,third street,2000
1084,third street,1450
1085,stadium blvd,1199
1086,stadium blvd,1199
1087,stadium blvd,1199
1089,1005 maiden lane,1299
109,220 n 1st st,1285
1090,twin lakes drive,959
1091,2911 bynan dr,969
1092,1005 maiden lane,1359
1093,1005 maiden lane,1499
1096,133 edenwood dr,1311
1097,2345 woodridge way,959
1098,101 lake village,2251
1099,1984 traver rd,1229
110,twin lakes drive,909
1100,w liberty,1499
1101,3100 s. winter st.,835
1102,w liberty,1409
1103,stadium blvd,1199
1104,2345 woodbridge,1109
1105,w liberty,1379
1106,658 michigan ave,1650
1107,413 e huron,1249
1108,rd,1644
1109,1355 s. winter st.,830
111,212 stevens dr,918
1110,825 tappan ave,1345
1111,275 harbor way,1499
1112,highlander way,915
1113,schooner cove blvd,979
1115,1984 traver rd,1469
1117,w liberty,1389
1118,101 lake village,1276
112,212 stevens drive,818
1120,31170 wellington drive,1088
1121,portside dr.,1088
1122,3089 woodland hills dr,939
1123,w liberty,1409
1125,stadium blvd,1199
1126,2960 international,989
1127,140 lauff drive,1030
1128,ecorse,900
1129,2345 woodridge way,889
113,2911 bynan,859
1130,2820 windwood,1675
1131,403 south fifth avenue,2150
1132,w liberty,1359
1133,520 n ashley st,1325
1134,1984 traver rd,1219
1135,2960 international drive,899
1136,lancashire drive,1269
1137,2911 bynan dr.,909
1138,1751 cass lake front st,950
1140,1006 pontiac trail,1500
1141,stadium blvd,1199
1143,w liberty,1379
1145,latson,860
1148,1550 brookfield,1489
1149,birch hollow drive,969
115,600 hidden valley club drive,1260
1150,schooner cove blvd,829
1151,w liberty,1539
1155,27883 independence st,925
1156,27883 independence st,1090
1157,golfside rd.,959
1159,commerce blvd,1089
1160,stadium blvd,1039
1162,275 harbor way,1399
1164,4685 hunt club dr,1100
1165,3400 nixon rd,2731
1166,1510 plymouth rd,1132
1168,3400 nixon rd,2003
1169,41265 crossbow circle,1630
117,roundtree blvd,939
1170,3400 nixon rd,1903
1171,3400 nixon rd,1596
1172,3400 nixon rd,1501
1173,3400 nixon rd,1486
1174,275 harbor way,1499
1176,101 lake village,1539
1179,140 lauff,970
118,321 williamsen dr,1070
1180,525 w highland road,1029
1181,2820 windwood,1644
1183,grandview,900
1184,908 sybil st,1625
1185,2911 bynan dr.,919
1187,3265 boardwalk drive,1410
1189,textile rd,1400
119,schooner cove boulevard,979
1191,727 e kingsley st,1795
1192,island drive,1175
1195,103 fieldcrest st,1330
1197,6070 campbell rd,1200
1198,221 n fifth avenue,2200
1199,2820 windwood,1644
12,2167 medford,1150
120,1505 natalie ln,1375
1200,2820 windwood,1483
1202,foley,800
1203,3000 signature blvd.,1388
1205,3000 signature blvd.,1353
1206,south main street,2251
1207,south main street,1952
1208,south main street,1784
1209,south main street,1534
121,virginia ave,548
1210,2820 windwood,1644
1212,2224 golfside drive,989
1213,2224 golfside drive,989
1214,2820 windwood,1675
1215,1006 pontiac trail,1500
1216,2224 golfside drive,1029
122,201 e madison st,3345
1224,1006 pontiac trail #1,1500
1228,2502 packard st.,1709
1229,2502 packard st.,1999
123,pauline blvd,1149
1230,955 sumpter road,1100
1231,abbott ave,1895
1232,2820 windwood,1675
1233,275 harbor way,1499
1234,275 harbor way,1399
1235,2820 windwood,1483
1236,2201 glencoe hills dr,2179
1237,3000 signature blvd.,1407
124,615 pearl street,750
1240,latson,840
1241,275 harbor way,1499
1242,south main street,1426
1243,south main street,2251
1244,pauline,1189
1245,pauline,1189
1246,2224 golfside drive,1029
1247,2224 golfside drive,1076
1249,3100 s. winter st.,880
125,leslie circle,1419
1250,2820 windwood,1644
1251,3100 s. winter st.,835
1253,1355 s. winter st.,830
1254,2224 golfside drive,989
1255,525 west highland rd,1029
1256,south main street,1784
1257,south main street,1534
1258,2820 windwood,1644
1259,whitmore lake road,1425
126,3089 woodland hills dr,869
1264,955 sumpter road,1100
1265,1984 traver rd,1229
1266,w liberty,1399
1267,1984 traver rd,1219
1268,2201 glencoe hills drive,1099
1269,101 lake village,1276
127,1984 traver rd,1419
1270,101 lake village,1502
1272,ann arbor saline rd,2251
1273,275 harbor way,1499
1275,forest,1100
1278,3050 birch hollow dr,1210
1279,309 n. hamilton,575
1280,1980 pauline boulevard,1189
1281,stadium blvd,1229
1282,1984 traver rd,1469
1283,birch hollow dr,1009
1284,603 e. huron street,999
1285,603 e. huron street,1049
1286,2501 keystone ln,840
1287,2501 keystone ln,840
1288,birch hollow dr,969
1289,2501 keystone ln,1040
129,w liberty,1379
1290,2501 keystone ln,1040
1292,275 harbor way,1885
1293,2960 international drive,859
1294,stadium blvd,1229
1296,lancashire drive,1419
1297,101 lake village,1276
1298,stadium blvd,1229
1299,2820 windwood,1483
13,101 lake village,1560
130,3089 woodland hills dr,939
1300,3050 birch hollow dr,1510
1301,1984 traver rd,1219
1302,2201 glencoe hills drive,929
1303,140 lauff drive,1040
1304,1107 s university ave,800
1305,w liberty,1589
1306,275 harbor way,1399
1307,3050 birch hollow dr,1150
1308,140 lauff,970
1309,w liberty,1589
131,329 jarvis street,995
1310,schooner cove boulevard,829
1311,525 west highland rd,1029
1312,27883 independence st,825
1313,1099 maiden lane,2095
1314,leslie circle,1269
1316,27883 independence st,1090
1317,1751 cass lake front st,950
1318,574 town trail,1500
1319,stadium blvd,1159
132,2973 w clark rd.,2509
1320,birch hollow dr,1179
1322,2911 bynan dr.,989
1323,2820 windwood,1644
1324,3050 birch hollow dr,1075
1326,birch hollow dr,1209
1327,birch hollow dr,969
1329,stadium blvd,1229
133,27883 independence st,1090
1330,275 harbor way,1499
1331,3016 cloverly lane,1400
1332,118 w oakbrook dr,2000
1333,stadium blvd,1229
1334,lancashire drive,1419
1335,1980 pauline boulevard,1209
134,3050 birch hollow dr,1170
1342,3000 signature blvd.,1353
1344,stadium blvd,1109
1345,1245 astor ave,1500
1347,w liberty,1589
135,2973 west clark rd,999
1351,101 lake village,1502
1353,275 harbor way,1399
1354,fountain,610
1355,1863 collins ct.,999
1356,1840 collins ct,999
1357,1837 davis st.,999
1358,2044 mcdivitt ct.,1364
1359,1840 collins ct,999
136,2973 west clark rd,1374
1360,1050 fishville rd,2099
1363,3050 birch hollow dr,975
1365,3050 birch hollow dr,1515
1366,stadium blvd,1229
1367,schooner cove blvd,889
1368,stadium blvd,1229
1369,1984 traver rd,1499
1370,birch hollow,1179
1371,pauline,1129
1372,pauline,1209
