,address,price,Latitude,Longitude
0,3050 birch hollow dr,1095.0,42.23897849959804,-83.71850497747207
1,912 rose ave,2000.0,51.4124753,-0.1640307
3,1505 natalie lane,1385.0,42.2939505433245,-83.6833615036768
4,1505 natalie lane,1185.0,42.2939505433245,-83.6833615036768
6,1505 natalie lane,1375.0,42.22220078037806,-83.44490161593934
7,310 e. liberty st. apt #2,1235.0,42.23897849959804,-83.71850497747207
8,10910 independence lane,952.0,42.4184296,-71.1061639
9,3050 birch hollow dr,1095.0,41.30368816987742,-101.92617845313801
11,2167 medford,1150.0,42.22220078037806,-83.44490161593934
12,101 lake village,1560.0,29.853534,-95.529008
14,101 lake village,1304.0,42.22220078037806,-83.44490161593934
15,10910 independence lane,859.0,42.22220078037806,-83.44490161593934
16,4873 packard st,955.0,42.248894899999996,-83.74726903728029
17,214 south hewitt,880.0,31.4623902,-97.1958377
18,10910 independence lane,775.0,39.233504,-123.3897308
19,10910 independence lane,790.0,41.57418138612344,-86.54787261514701
20,275 harbor way,1399.0,39.233504,-123.3897308
23,214 south hewitt,970.0,31.4623902,-97.1958377
25,406 montgomery,1290.0,31.4623902,-97.1958377
26,1610 longshore dr.,1475.0,31.4623902,-97.1958377
27,406 montgomery,1290.0,36.05600475642987,-80.29309482236044
29,3050 birch hollow dr,1095.0,42.296231,-83.781087
30,214 south hewitt,1000.0,36.2071354170498,-115.28893900466245
31,214 south hewitt,970.0,42.296231,-83.781087
32,214 south hewitt,880.0,42.296231,-83.781087
33,214 south hewitt,1020.0,42.2449827138505,-83.67153307062043
34,214 south hewitt,860.0,36.05600475642987,-80.29309482236044
38,3089 woodland hills dr,1249.0,42.255379500000004,-83.6740488589607
40,2973 west clark rd,1374.0,41.30368816987742,-101.92617845313801
44,"1645 n maple rd # 309, ann arbor, mi",750.0,42.26804544897959,-83.77355891836734
45,2224 golfside drive,989.0,42.26804544897959,-83.77355891836734
46,"1645 n maple rd # 309, ann arbor, mi",750.0,42.227655,-83.6556897
47,"1645 n maple rd # 309, ann arbor, mi",750.0,42.238664,-83.721835
50,3008 randolph court dr.,933.0,39.233504,-123.3897308
52,3089 woodland hills dr,939.0,42.30154991677406,-83.72719734545764
59,8777 rushside dr,1420.0,42.533949137256215,-83.77743834447756
65,1116 s forest,6000.0,36.05600475642987,-80.29309482236044
79,2201 glencoe hills,1529.0,39.27623780175006,-80.33715248275166
