,Unnamed: 0,address,price,location
0,0,3050 birch hollow dr ann arbor,1095.0,"3050, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
1,1,912 rose ave ann arbor,2000.0,"912, Rose Avenue, Lower Burns Park, Burns Park, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America"
2,3,1505 natalie lane ann arbor,1385.0,"1505, Natalie Lane, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America"
3,4,1505 natalie lane ann arbor,1185.0,"1505, Natalie Lane, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America"
4,6,1505 natalie lane ann arbor,1375.0,"1505, Natalie Lane, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America"
5,7,310 e. liberty st. apt #2 ann arbor,1235.0,
6,8,10910 independence lane ann arbor,952.0,
7,9,3050 birch hollow dr ann arbor,1095.0,"3050, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
8,11,2167 medford ann arbor,1150.0,"2167, Medford Road, Ann Arbor Woods Apartments, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America"
9,12,101 lake village ann arbor,1560.0,
10,14,101 lake village ann arbor,1304.0,
11,15,10910 independence lane ann arbor,859.0,
12,16,4873 packard st ann arbor,955.0,"Packard Street, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
13,17,214 south hewitt ann arbor,880.0,
14,18,10910 independence lane ann arbor,775.0,
15,19,10910 independence lane ann arbor,790.0,
16,20,275 harbor way ann arbor,1399.0,"Harbor House Clubhouse, 275, Harbor Way, Harbor House of Ann Arbor, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
17,23,214 south hewitt ann arbor,970.0,
18,25,406 montgomery ann arbor,1290.0,"406, Montgomery Avenue, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
19,26,1610 longshore dr. ann arbor,1475.0,
20,27,406 montgomery ann arbor,1290.0,"406, Montgomery Avenue, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
21,29,3050 birch hollow dr ann arbor,1095.0,"3050, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
22,30,214 south hewitt ann arbor,1000.0,
23,31,214 south hewitt ann arbor,970.0,
24,32,214 south hewitt ann arbor,880.0,
25,33,214 south hewitt ann arbor,1020.0,
26,34,214 south hewitt ann arbor,860.0,
27,38,3089 woodland hills dr ann arbor,1249.0,"3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America"
28,40,2973 west clark rd ann arbor,1374.0,"2973, West Clark Road, Superior Charter Township, Washtenaw County, Michigan, 48197, United States of America"
29,44,"1645 n maple rd # 309, ann arbor, mi",750.0,"1645, North Maple Road, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
30,45,2224 golfside drive ann arbor,989.0,"Golfside Drive, Commerce Township, Oakland County, Michigan, 48382, United States of America"
31,46,"1645 n maple rd # 309, ann arbor, mi",750.0,"1645, North Maple Road, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
32,47,"1645 n maple rd # 309, ann arbor, mi",750.0,"1645, North Maple Road, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
33,50,3008 randolph court dr. ann arbor,933.0,"3008, Randolph Court Drive, Randolph Court Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America"
34,52,3089 woodland hills dr ann arbor,939.0,"3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America"
35,59,8777 rushside dr ann arbor,1420.0,
36,65,1116 s forest ann arbor,6000.0,
37,79,2201 glencoe hills ann arbor,1529.0,"Glencoe Hills, Pittsfield Charter Township, Washtenaw County, Michigan, United States of America"
38,80,2201 glencoe hills ann arbor,2179.0,"Glencoe Hills, Pittsfield Charter Township, Washtenaw County, Michigan, United States of America"
39,81,2201 glencoe hills ann arbor,1149.0,"Glencoe Hills, Pittsfield Charter Township, Washtenaw County, Michigan, United States of America"
40,85,101 lake village ann arbor,2000.0,
41,86,1980 pauline boulevard ann arbor,1229.0,"1980, Pauline Boulevard, Wildwood, Ann Arbor, Ann Arbor Charter Township, Washtenaw County, Michigan, 48103, United States of America"
42,87,2960 birch hollow dr ann arbor,1209.0,"2960, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
43,91,1355 s. winter st. ann arbor,830.0,
44,92,1980 pauline boulevard ann arbor,1149.0,"1980, Pauline Boulevard, Wildwood, Ann Arbor, Ann Arbor Charter Township, Washtenaw County, Michigan, 48103, United States of America"
45,97,1980 pauline boulevard ann arbor,1249.0,"1980, Pauline Boulevard, Wildwood, Ann Arbor, Ann Arbor Charter Township, Washtenaw County, Michigan, 48103, United States of America"
46,98,2835 roundtree blvd ann arbor,1079.0,"2835, Roundtree Boulevard, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America"
47,99,2960 birch hollow dr ann arbor,1179.0,"2960, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
48,101,406 montgomery ann arbor,1290.0,"406, Montgomery Avenue, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
49,102,2820 windwood ann arbor,1644.0,"2820, Windwood Drive, Orion NorthStar Apartments, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America"
50,103,406 montgomery ann arbor,1290.0,"406, Montgomery Avenue, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
51,104,401 s. highlander way ann arbor,878.0,
52,105,1984 traver rd ann arbor,1469.0,"1984, Traver Road, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America"
53,107,2960 international drive ann arbor,989.0,"2960, International Drive, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America"
54,108,220 n 1st st ann arbor,1285.0,"220, North First Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America"
55,110,212 stevens dr ann arbor,918.0,"212, Stevens Drive, Eastlawn, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America"
56,111,212 stevens drive ann arbor,818.0,"212, Stevens Drive, Eastlawn, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America"
57,112,2911 bynan ann arbor,859.0,"Bynan Drive, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America"
58,114,600 hidden valley club drive ann arbor,1260.0,"600, Hidden Valley Club Drive, Hidden Valley-, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America"
59,117,321 williamsen dr ann arbor,1070.0,
60,119,1505 natalie ln ann arbor,1375.0,"1505, Natalie Lane, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America"
61,121,201 e madison st ann arbor,3345.0,"201, East Madison Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America"
62,123,615 pearl street ann arbor,750.0,"Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
63,125,3089 woodland hills dr ann arbor,869.0,"3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America"
64,126,1984 traver rd ann arbor,1419.0,"1984, Traver Road, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America"
65,129,3089 woodland hills dr ann arbor,939.0,"3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America"
66,130,329 jarvis street ann arbor,995.0,
67,131,2973 w clark rd. ann arbor,2509.0,"2973, West Clark Road, Superior Charter Township, Washtenaw County, Michigan, 48197, United States of America"
68,132,27883 independence st ann arbor,1090.0,
69,133,3050 birch hollow dr ann arbor,1170.0,"3050, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
70,134,2973 west clark rd ann arbor,999.0,"2973, West Clark Road, Superior Charter Township, Washtenaw County, Michigan, 48197, United States of America"
71,135,2973 west clark rd ann arbor,1374.0,"2973, West Clark Road, Superior Charter Township, Washtenaw County, Michigan, 48197, United States of America"
72,138,1550 brookfield ann arbor,1579.0,"1550, Brookfield Drive, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
73,139,275 harbor way ann arbor,1499.0,"Harbor House Clubhouse, 275, Harbor Way, Harbor House of Ann Arbor, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
74,141,329 jarvis street ann arbor,795.0,
75,146,329 jarvis street ann arbor,1095.0,
76,147,101 lake village ann arbor,1422.0,
77,150,12 miles ann arbor,1195.0,
78,151,329 jarvis street ann arbor,795.0,
79,152,329 jarvis street ann arbor,795.0,
80,153,958 west cross street ann arbor,2195.0,
81,154,805 congress st. ann arbor,815.0,
82,155,805 congress ann arbor,1295.0,"Congress Drive, Canton, Wayne County, Michigan, 48187, United States of America"
83,156,705 pearl street ann arbor,1995.0,"705, Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
84,157,615 pearl street ann arbor,750.0,"Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
85,158,615 pearl street ann arbor,675.0,"Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
86,159,615 pearl street ann arbor,695.0,"Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
87,160,615 pearl street ann arbor,695.0,"Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
88,161,212 north summit street ann arbor,1245.0,"Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America"
89,162,207 ballard street ann arbor,1095.0,
90,163,329 jarvis street ann arbor,1095.0,
91,164,9 south summit st. ann arbor,2095.0,"Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America"
92,165,116 north summit street ann arbor,1695.0,"Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America"
93,166,124 north summit street ann arbor,1295.0,"Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America"
94,167,125 north summit street ann arbor,1245.0,"Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America"
95,168,125 north summit street ann arbor,769.0,"Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America"
96,169,207 ballard street ann arbor,975.0,
97,170,207 ballard street ann arbor,1045.0,
98,171,2835 roundtree blvd ann arbor,969.0,"2835, Roundtree Boulevard, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America"
99,172,212 stevens drive ann arbor,818.0,"212, Stevens Drive, Eastlawn, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America"
100,174,3050 birch hollow dr ann arbor,975.0,"3050, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
101,176,2044 mcdivitt ct. ann arbor,1250.0,
102,178,600 hidden valley club drive ann arbor,990.0,"600, Hidden Valley Club Drive, Hidden Valley-, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America"
103,179,2960 birch hollow dr ann arbor,1209.0,"2960, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America"
104,180,3089 woodland hills dr ann arbor,1249.0,"3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America"
105,181,1550 brookfield ann arbor,1579.0,"1550, Brookfield Drive, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America"
106,183,1980 pauline boulevard ann arbor,1229.0,"1980, Pauline Boulevard, Wildwood, Ann Arbor, Ann Arbor Charter Township, Washtenaw County, Michigan, 48103, United States of America"
